Domain Name,Inconsistent IPs,IP Record Type
dl.dnzdns.com.,"{'3.23.227.207', '3.132.188.189', '18.189.133.24', '18.190.44.139', '3.13.5.56', '3.139.183.150'}",A
ns2.rodacoop.com.br.,{'162.215.135.150'},A
lp.dnzdns.com.,"{'3.23.227.207', '3.132.188.189', '18.189.133.24', '18.190.44.139', '3.13.5.56', '3.139.183.150'}",A
lk.dnzdns.com.,"{'3.23.227.207', '3.132.188.189', '18.189.133.24', '18.190.44.139', '3.13.5.56', '3.139.183.150'}",A
ns2.dnzdns.com.,"{'18.189.133.24', '3.132.188.189', '3.13.5.56'}",A
mzizi.kenic.or.ke.,{'198.32.67.9'},A
marciatravessoni.com.br.dnzdns.com.,"{'3.23.227.207', '3.132.188.189', '18.189.133.24', '18.190.44.139', '3.13.5.56', '3.139.183.150'}",A
ns1.dnzdns.com.,"{'3.139.183.150', '18.190.44.139', '3.23.227.207'}",A
ns2.ytpu.com.,{'61.162.187.133'},A
c.nic.ir.,{'141.95.65.136'},A
generationxyz.nic.xyz.,{'185.24.64.200'},A
ns1.ytpu.com.,{'61.162.187.133'},A
generationxyz.nic.xyz.,{'2a04:2b00:13cc::1:200'},AAAA
